col_annee,col_carburant,col_prix_moyen,col_variation_vs_2019_pourcent,col_variation_annuelle_pourcent,col_tendance,col_source,col_date_collecte
2.23,1.93,1.947,6.15,3.74,8.2,RATP_Open_Data_2024,2024-07-13 00:00:00
7.7,4.85,1.89,6.11,8.28,4.05,SNCF_Open_Data,2024-11-18 00:00:00
4.8,2.51,1.862,5.93,2.97,1.44,Data.gouv.fr,2024-05-25 00:00:00
4.34,4.76,1.875,3.41,5.78,6.22,Data.gouv.fr,2024-01-20 00:00:00
6.66,6.94,1.725,3.6,2.79,1.84,Météo-France,2024-06-15 00:00:00
6.68,8.66,1.981,2.23,6.21,8.23,Météo-France,2024-07-12 00:00:00
2.01,2.6,1.846,5.47,4.97,5.26,RATP_Open_Data_2024,2024-02-21 00:00:00
3.39,8.49,1.839,2.91,6.9,4.03,Data.gouv.fr,2024-09-24 00:00:00
2.76,6.19,1.742,5.3,5.07,3.83,Data.gouv.fr,2024-08-15 00:00:00
1.81,2.24,1.799,3.89,5.83,6.66,Data.gouv.fr,2024-06-21 00:00:00
6.02,4.14,1.703,4.01,6.83,6.35,Airparif,2024-11-02 00:00:00
6.32,2.41,1.825,1.98,1.63,1.95,SNCF_Open_Data,2024-05-06 00:00:00
8.0,8.38,1.921,1.61,7.57,8.77,Data.gouv.fr,2024-10-11 00:00:00
3.24,7.05,1.73,4.0,3.05,4.01,RATP_Open_Data_2024,2024-01-11 00:00:00
8.01,1.62,1.789,2.61,7.79,6.04,SNCF_Open_Data,2024-09-12 00:00:00
6.11,8.43,1.715,6.06,5.73,3.49,RATP_Open_Data_2024,2024-06-29 00:00:00
8.28,6.08,1.715,7.74,3.12,2.09,RATP_Open_Data_2024,2024-11-26 00:00:00
5.18,3.93,1.974,4.36,6.55,7.31,Airparif,2024-01-12 00:00:00
2.75,8.66,1.705,2.08,1.46,3.15,RATP_Open_Data_2024,2024-03-03 00:00:00
8.71,4.67,1.962,1.58,7.01,1.77,SNCF_Open_Data,2024-04-03 00:00:00
4.72,1.28,1.838,6.95,8.39,7.02,Météo-France,2024-06-23 00:00:00
1.29,1.89,1.821,2.97,4.84,7.4,Data.gouv.fr,2024-03-13 00:00:00
2.66,2.35,1.698,6.05,3.36,6.3,Data.gouv.fr,2024-06-05 00:00:00
5.96,7.38,1.875,3.74,4.6,1.78,Data.gouv.fr,2024-07-20 00:00:00
6.08,6.04,1.886,5.75,6.95,6.05,Météo-France,2024-02-04 00:00:00
1.44,4.28,1.795,6.41,4.59,8.36,RATP_Open_Data_2024,2024-07-31 00:00:00
3.63,4.02,1.901,5.09,4.28,7.03,RATP_Open_Data_2024,2024-11-01 00:00:00
4.96,6.08,1.69,3.61,6.07,6.2,SNCF_Open_Data,2024-07-22 00:00:00
7.82,1.49,1.692,3.43,3.87,1.91,Météo-France,2024-05-16 00:00:00
1.59,1.55,1.976,4.16,6.77,4.93,Data.gouv.fr,2024-11-09 00:00:00
4.59,2.04,1.911,3.83,5.65,6.79,Airparif,2024-03-20 00:00:00
3.79,3.92,1.806,4.96,3.83,5.35,Météo-France,2024-07-07 00:00:00
5.83,7.52,1.773,6.29,4.03,3.01,Data.gouv.fr,2024-05-08 00:00:00
8.63,3.97,1.839,2.31,5.55,7.68,Data.gouv.fr,2024-02-11 00:00:00
2.44,4.1,1.822,7.22,6.43,8.48,RATP_Open_Data_2024,2024-07-02 00:00:00
3.67,7.66,1.863,5.51,6.49,5.41,Météo-France,2024-03-14 00:00:00
3.44,1.38,1.974,4.36,4.93,8.76,Météo-France,2024-03-18 00:00:00
2.98,1.95,1.988,7.98,3.7,5.7,Airparif,2024-12-22 00:00:00
6.12,4.06,1.912,7.2,5.77,5.97,RATP_Open_Data_2024,2024-01-04 00:00:00
7.07,7.62,1.751,6.15,1.43,6.61,Airparif,2024-10-07 00:00:00
3.54,6.87,1.786,2.28,7.43,7.91,Météo-France,2024-08-24 00:00:00
5.38,8.25,1.85,7.23,4.34,4.98,SNCF_Open_Data,2024-02-09 00:00:00
6.64,7.4,1.955,4.34,4.16,7.95,Data.gouv.fr,2024-06-04 00:00:00
3.25,3.98,1.933,5.34,4.92,4.4,RATP_Open_Data_2024,2024-04-17 00:00:00
1.98,6.41,1.799,6.77,8.24,3.79,RATP_Open_Data_2024,2024-08-31 00:00:00
6.25,7.73,1.875,5.93,5.55,1.57,Airparif,2024-04-17 00:00:00
6.24,8.73,1.869,2.06,1.68,8.03,SNCF_Open_Data,2024-10-03 00:00:00
6.51,6.76,1.962,1.77,3.68,8.52,Airparif,2024-09-19 00:00:00
5.91,6.08,1.85,3.77,4.84,1.69,RATP_Open_Data_2024,2024-12-24 00:00:00
6.59,8.61,1.835,7.32,5.53,1.25,Data.gouv.fr,2024-01-07 00:00:00
