col_annee,col_polluant,col_concentration_moyenne,col_variation_vs_2019_pourcent,col_tendance,col_objectif_2024,col_atteinte_objectif,col_source,col_date_collecte
4.61,PM2.5,29.49,5.52,5.09,1.27,4.64,Airparif,2024-10-22 00:00:00
8.07,PM2.5,58.02,7.18,4.03,4.58,7.21,SNCF_Open_Data,2024-08-02 00:00:00
2.71,SO2,64.06,2.88,5.78,5.28,2.68,SNCF_Open_Data,2024-04-28 00:00:00
7.17,O3,59.49,2.94,8.66,7.39,5.82,RATP_Open_Data_2024,2024-04-21 00:00:00
5.08,O3,82.22,7.69,2.23,4.66,6.66,RATP_Open_Data_2024,2024-04-21 00:00:00
6.72,NO2,4.17,1.67,8.03,6.22,3.24,RATP_Open_Data_2024,2024-03-21 00:00:00
5.14,PM2.5,63.57,4.5,5.21,6.88,1.44,Data.gouv.fr,2024-07-20 00:00:00
7.61,O3,68.37,2.51,2.19,4.03,4.21,Météo-France,2024-05-15 00:00:00
3.08,PM2.5,57.8,7.62,2.07,8.43,2.33,RATP_Open_Data_2024,2024-07-04 00:00:00
1.93,CO,41.4,3.92,6.34,6.16,7.17,Data.gouv.fr,2024-06-27 00:00:00
3.6,PM10,50.64,1.92,4.74,7.8,1.37,RATP_Open_Data_2024,2024-09-14 00:00:00
4.95,SO2,32.68,1.26,5.03,5.36,3.83,Airparif,2024-06-15 00:00:00
8.02,CO,64.85,8.07,7.99,1.53,1.52,Airparif,2024-06-22 00:00:00
5.28,CO,70.4,5.75,2.85,2.2,1.24,RATP_Open_Data_2024,2024-03-13 00:00:00
6.66,PM2.5,36.96,4.92,3.57,2.61,4.84,Data.gouv.fr,2024-05-07 00:00:00
7.96,SO2,64.13,3.6,3.32,7.65,7.24,SNCF_Open_Data,2024-02-29 00:00:00
7.95,CO,78.85,7.58,3.87,1.39,5.3,Data.gouv.fr,2024-11-16 00:00:00
5.13,SO2,76.57,1.63,1.31,1.35,1.64,Airparif,2024-06-23 00:00:00
8.45,O3,24.49,2.76,2.75,7.84,2.04,Airparif,2024-04-29 00:00:00
6.98,PM2.5,55.71,5.1,3.87,8.39,3.88,Météo-France,2024-04-30 00:00:00
2.84,O3,62.31,8.6,8.78,3.72,3.61,RATP_Open_Data_2024,2024-11-05 00:00:00
1.5,CO,82.23,8.79,1.32,3.94,7.02,Météo-France,2024-11-27 00:00:00
3.69,SO2,61.04,5.51,6.87,3.11,5.77,Météo-France,2024-01-30 00:00:00
1.47,O3,60.92,5.54,5.84,2.06,3.32,Airparif,2024-11-10 00:00:00
3.1,O3,50.08,1.84,3.22,4.9,3.28,RATP_Open_Data_2024,2024-10-06 00:00:00
6.73,PM10,24.94,4.47,6.28,8.27,1.59,Data.gouv.fr,2024-01-19 00:00:00
4.63,NO2,51.78,5.11,3.97,3.89,7.66,Data.gouv.fr,2024-09-04 00:00:00
8.45,PM2.5,22.4,1.45,2.14,8.1,3.96,SNCF_Open_Data,2024-07-24 00:00:00
5.73,CO,18.9,6.59,8.03,1.75,2.74,SNCF_Open_Data,2024-12-14 00:00:00
7.61,CO,64.26,8.6,6.04,8.63,8.29,Data.gouv.fr,2024-03-25 00:00:00
5.91,PM2.5,25.43,3.0,3.62,3.72,2.01,SNCF_Open_Data,2024-11-26 00:00:00
5.92,SO2,14.85,5.82,7.43,2.46,7.08,SNCF_Open_Data,2024-04-27 00:00:00
7.31,CO,45.33,5.52,1.49,1.42,4.83,Airparif,2024-02-03 00:00:00
1.38,O3,25.84,5.0,2.8,7.97,5.8,RATP_Open_Data_2024,2024-12-13 00:00:00
3.9,O3,15.53,5.24,6.24,3.5,1.76,SNCF_Open_Data,2024-11-17 00:00:00
8.4,PM2.5,73.75,5.77,1.67,8.71,2.43,Météo-France,2024-09-16 00:00:00
2.48,SO2,44.98,4.57,5.3,4.72,2.37,Airparif,2024-08-14 00:00:00
5.39,PM2.5,60.55,4.03,1.39,6.06,4.28,Météo-France,2024-02-08 00:00:00
3.73,CO,55.57,2.76,1.91,5.87,1.91,Data.gouv.fr,2024-02-19 00:00:00
8.43,SO2,2.58,8.59,3.39,3.15,4.39,Météo-France,2024-07-26 00:00:00
5.15,O3,67.07,3.72,4.75,3.43,1.85,RATP_Open_Data_2024,2024-04-23 00:00:00
8.22,PM2.5,15.89,2.51,5.73,3.94,6.58,Météo-France,2024-02-01 00:00:00
6.42,O3,56.81,5.54,7.43,1.44,3.1,RATP_Open_Data_2024,2024-11-02 00:00:00
5.61,O3,10.3,6.29,3.49,7.04,5.47,Airparif,2024-11-13 00:00:00
4.52,SO2,80.76,2.39,6.04,1.58,4.24,Airparif,2024-08-18 00:00:00
5.04,NO2,61.95,1.37,3.09,4.96,1.46,RATP_Open_Data_2024,2024-01-15 00:00:00
5.32,PM2.5,30.24,6.01,1.64,1.74,8.45,Data.gouv.fr,2024-06-28 00:00:00
6.81,SO2,54.68,5.68,4.71,4.63,4.43,RATP_Open_Data_2024,2024-04-20 00:00:00
7.75,CO,65.24,6.94,1.53,8.3,6.9,Airparif,2024-04-13 00:00:00
3.99,PM2.5,80.82,5.49,6.32,5.94,3.59,Data.gouv.fr,2024-11-02 00:00:00
