col_annee,col_emissions_co2_transport_mt,col_indice_qualite_air,col_consommation_energie_transport_twh,col_part_transport_emissions_pourcent,col_reduction_emissions_vs_2019_pourcent,col_amelioration_qualite_air_pourcent,col_objectif_atteint,col_source,col_date_collecte
7.5,5.34,4.16,4.92,3.52,6.72,7.06,3.15,Airparif,2024-11-26 00:00:00
3.26,6.57,8.54,7.29,7.04,2.97,6.18,8.04,SNCF_Open_Data,2024-02-27 00:00:00
3.41,8.57,2.49,3.5,4.56,8.39,6.82,3.37,Data.gouv.fr,2024-10-03 00:00:00
6.22,3.03,3.66,3.39,3.5,4.24,2.27,6.34,Data.gouv.fr,2024-07-01 00:00:00
1.3,4.06,5.47,8.61,2.57,1.58,1.31,2.55,Météo-France,2024-06-03 00:00:00
2.28,6.11,5.38,6.38,3.75,5.3,5.3,6.22,Data.gouv.fr,2024-06-28 00:00:00
5.62,2.42,1.98,7.64,6.6,5.19,1.34,6.99,SNCF_Open_Data,2024-07-29 00:00:00
2.75,3.47,7.22,5.81,1.36,5.24,1.32,8.45,SNCF_Open_Data,2024-03-22 00:00:00
7.96,4.89,4.73,8.61,5.98,3.69,7.01,2.15,Data.gouv.fr,2024-07-27 00:00:00
1.23,6.58,7.3,7.55,7.2,7.81,3.47,5.52,Airparif,2024-01-13 00:00:00
4.92,3.23,5.14,1.31,6.8,6.67,8.58,7.84,SNCF_Open_Data,2024-08-08 00:00:00
4.99,7.11,6.15,4.01,6.32,6.94,3.84,8.39,RATP_Open_Data_2024,2024-05-17 00:00:00
3.19,7.68,3.04,7.97,2.05,4.05,8.28,3.76,Airparif,2024-09-24 00:00:00
2.58,8.31,6.54,4.19,2.58,3.69,3.88,2.05,Airparif,2024-12-10 00:00:00
7.52,1.74,5.77,4.07,7.12,6.12,8.47,6.83,Airparif,2024-12-07 00:00:00
4.41,2.22,8.08,7.53,7.48,3.78,8.36,7.11,Data.gouv.fr,2024-08-09 00:00:00
8.69,1.27,1.27,3.41,8.73,7.41,5.48,1.99,Data.gouv.fr,2024-06-09 00:00:00
2.08,3.46,1.8,8.45,8.72,5.34,7.13,2.71,Data.gouv.fr,2024-07-27 00:00:00
4.11,8.69,7.21,3.86,4.5,7.25,8.62,8.38,SNCF_Open_Data,2024-11-23 00:00:00
7.7,3.24,1.35,2.62,7.53,4.84,4.64,5.89,SNCF_Open_Data,2024-03-23 00:00:00
1.49,4.65,8.71,5.64,7.36,8.21,7.86,6.59,Data.gouv.fr,2024-10-25 00:00:00
