col_mode_mobilite_id,col_code_mode,col_nom_mode,col_type_mode,col_est_motorise,col_capacite,col_vitesse_max,col_vitesse_max_theorique,col_categorie_energie,col_niveau_service,col_impact_environnemental,col_cout_utilisation,col_accessibilite,col_infrastructure_requise,col_zone_couverture,col_frequence_service,col_niveau_bruit,col_emission_co2_km,col_consommation_energie,col_source
M_05,RER,Tramway,TER,3.61,800,45,130,6.68,8.25,8.62,7.25,8.22,4.04,1.7,6.25,7.57,2.77,5.84,Météo-France
M_06,Transilien,Métro,TGV,1.69,5,70,45,4.97,7.44,2.11,8.74,6.08,2.97,4.01,1.7,4.6,4.34,5.57,RATP_Open_Data_2024
M_01,Métro,TER,TGV,5.81,5,130,45,6.67,6.88,5.38,7.85,1.62,7.16,8.35,3.51,7.11,5.13,2.61,Data.gouv.fr
M_04,TGV,RER,RER,3.58,800,130,50,1.36,8.21,5.94,4.14,6.3,8.37,5.66,1.32,6.47,6.19,6.06,Data.gouv.fr
M_03,RER,Bus RATP,RER,6.61,50,130,80,4.76,1.61,5.94,3.02,7.85,4.81,2.03,4.47,4.2,3.91,2.08,SNCF_Open_Data
M_04,Bus RATP,TER,Tramway,2.53,120,130,80,2.01,4.52,3.17,8.49,1.76,3.34,3.49,2.16,3.3,8.19,7.33,Data.gouv.fr
M_06,RER,TER,TER,2.86,5,110,110,7.78,2.73,6.24,5.15,1.92,2.76,1.79,6.21,7.7,3.94,1.42,RATP_Open_Data_2024
M_05,Tramway,Tramway,RER,8.58,800,130,30,4.64,5.24,3.39,5.78,6.25,3.95,7.91,6.83,7.31,2.5,3.04,Airparif
M_09,TGV,TGV,Métro,2.72,5,110,80,1.55,7.26,4.36,5.2,5.51,3.43,3.57,8.26,5.79,7.18,6.83,Airparif
M_04,TGV,TER,RER,6.86,50,70,30,6.43,6.08,1.65,3.35,1.99,7.29,1.3,8.06,1.95,3.81,7.97,Data.gouv.fr
M_03,Transilien,Tramway,RER,4.77,800,45,130,6.33,8.14,6.03,5.88,8.78,3.15,6.31,8.41,3.58,8.13,1.42,RATP_Open_Data_2024
M_06,Tramway,Tramway,Métro,4.45,350,30,30,3.52,2.85,4.78,4.1,7.48,5.82,6.19,5.45,8.12,7.68,2.15,RATP_Open_Data_2024
