col_date,col_station,col_temperature,col_humidite,col_pression,col_vitesse_vent,col_direction_vent,col_precipitations,col_ensoleillement,col_visibilite,col_latitude,col_longitude
2024-03-01 00:00:00,Haussmann Saint-Lazare 7,25.0,ID_000,995.2,80,5.62,13.2,8.39,5.72,52.714092,6.181039
2024-01-15 00:00:00,Haussmann Saint-Lazare 1,18.8,ID_001,1022.9,50,4.7,4.8,7.84,3.78,45.154562,5.289609
2024-12-05 00:00:00,Gare de Lyon 8,14.3,ID_002,1023.2,80,5.64,2.3,5.05,2.9,48.005651,-1.015303
2024-02-28 00:00:00,Haussmann Saint-Lazare 7,5.8,ID_003,1006.8,45,3.19,2.1,2.73,7.67,47.099461,0.494378
2024-09-03 00:00:00,Part-Dieu 4,16.3,ID_004,997.9,130,7.2,9.5,4.81,7.27,51.498363,3.639527
2024-04-25 00:00:00,Haussmann Saint-Lazare 2,25.2,ID_005,1002.9,70,3.18,8.8,5.08,2.09,46.763251,6.191658
2024-05-26 00:00:00,Gare du Nord 4,21.1,ID_006,1013.0,45,7.74,6.3,4.97,6.67,51.457571,0.035579
2024-11-13 00:00:00,Part-Dieu 9,20.2,ID_007,1016.2,45,7.36,9.0,8.07,2.01,46.54545,5.871234
2024-06-30 00:00:00,Saint-Charles 3,25.4,ID_008,1018.7,70,6.64,13.4,4.16,6.87,46.842092,2.550261
2024-10-10 00:00:00,Gare de Lyon 9,23.9,ID_009,996.8,50,5.69,13.0,6.96,5.45,50.113164,2.873113
2024-03-28 00:00:00,Matabiau 7,7.1,ID_010,1008.6,130,8.56,5.5,1.88,6.75,46.635598,0.354173
2024-06-12 00:00:00,Montparnasse 7,17.0,ID_011,1022.5,130,6.33,7.6,7.0,2.14,47.164843,4.761145
2024-08-19 00:00:00,Saint-Charles 9,14.8,ID_012,1024.3,80,4.73,5.3,5.13,7.71,52.342589,6.11484
2024-09-11 00:00:00,Matabiau 1,18.5,ID_013,1019.3,50,2.81,10.3,4.76,6.59,48.015435,2.964527
2024-04-02 00:00:00,Matabiau 4,12.7,ID_014,1002.4,80,1.83,2.6,8.19,7.1,51.064808,3.938953
2024-04-28 00:00:00,Haussmann Saint-Lazare 5,20.6,ID_015,1013.3,70,3.91,4.4,7.32,7.23,46.153637,1.774319
2024-10-01 00:00:00,Gare du Nord 6,4.7,ID_016,1000.0,45,6.66,1.0,4.55,4.69,47.844434,5.434055
2024-06-21 00:00:00,Haussmann Saint-Lazare 7,13.9,ID_017,1012.8,130,3.7,7.8,7.15,2.14,49.798189,-0.804782
2024-08-08 00:00:00,Gare de l'Est 4,20.3,ID_018,998.8,130,2.79,12.0,8.09,4.11,48.34541,2.983406
2024-01-10 00:00:00,Matabiau 2,18.7,ID_019,1004.0,130,4.43,3.3,3.24,8.17,51.125289,4.765414
2024-05-15 00:00:00,Saint-Charles 1,16.5,ID_020,1023.3,110,5.13,11.7,6.65,3.9,45.564175,-0.121513
2024-12-03 00:00:00,Part-Dieu 5,8.1,ID_021,997.0,80,1.74,0.2,3.31,6.4,48.396456,4.220528
2024-07-04 00:00:00,Matabiau 1,17.5,ID_022,1009.2,50,4.36,0.1,7.66,2.89,44.861898,3.13695
2024-07-13 00:00:00,Saint-Charles 5,8.2,ID_023,1020.9,110,1.34,11.7,6.13,7.47,46.2508,0.403926
2024-01-17 00:00:00,Saint-Jean 6,6.3,ID_024,1006.6,30,6.15,14.4,6.49,5.04,48.73922,1.05042
2024-07-22 00:00:00,Matabiau 2,19.2,ID_025,1005.4,45,8.17,5.7,3.2,2.36,50.347704,-0.820288
2024-03-06 00:00:00,Haussmann Saint-Lazare 3,24.7,ID_026,1024.4,50,7.69,8.3,3.95,3.98,49.341489,-0.937161
2024-07-30 00:00:00,Saint-Jean 5,24.1,ID_027,999.5,80,5.79,5.1,2.63,7.03,46.063249,5.797968
2024-12-10 00:00:00,Gare de l'Est 6,19.7,ID_028,1010.6,50,1.45,6.4,3.1,7.04,52.014189,5.790899
2024-04-05 00:00:00,Gare de Lyon 9,14.6,ID_029,1000.3,30,5.3,1.4,4.14,2.24,52.013581,5.918808
2024-10-01 00:00:00,Gare de Lyon 2,15.5,ID_030,995.2,45,6.81,9.5,2.1,6.83,48.083859,-0.771521
2024-01-08 00:00:00,Saint-Jean 5,9.5,ID_031,1004.2,50,6.97,11.5,2.67,5.02,50.661412,3.673127
2024-09-08 00:00:00,Haussmann Saint-Lazare 2,7.5,ID_032,1004.5,110,4.97,9.2,8.46,2.95,48.126681,6.201953
2024-10-18 00:00:00,Gare de l'Est 1,15.7,ID_033,995.6,50,2.53,9.6,5.39,4.04,45.316906,-1.279882
2024-07-09 00:00:00,Saint-Charles 2,24.9,ID_034,1003.6,110,5.4,5.0,5.29,1.5,48.842443,5.658071
2024-02-27 00:00:00,Saint-Charles 7,6.1,ID_035,998.2,80,7.84,10.4,2.05,7.15,46.66962,4.826128
2024-12-01 00:00:00,Gare de l'Est 3,7.0,ID_036,1021.4,70,3.2,11.2,1.67,2.05,47.003272,6.246087
2024-10-22 00:00:00,Gare de l'Est 5,22.4,ID_037,1016.0,70,6.71,11.8,3.94,3.21,47.884561,-1.411985
2024-05-03 00:00:00,Gare de Lyon 3,13.1,ID_038,1024.9,45,1.81,7.9,5.65,1.57,45.752318,-1.355591
2024-06-20 00:00:00,Montparnasse 9,12.3,ID_039,1024.4,80,3.69,12.9,8.68,8.01,51.946197,3.23707
2024-02-03 00:00:00,Gare de l'Est 5,7.9,ID_040,1010.0,130,2.83,5.3,4.62,7.3,47.68191,0.037595
2024-07-17 00:00:00,Part-Dieu 6,18.1,ID_041,1014.7,45,5.61,10.7,2.33,2.49,48.444893,0.718923
2024-10-12 00:00:00,Gare de Lyon 3,18.2,ID_042,995.8,70,7.71,7.0,1.21,8.17,50.151947,5.782802
2024-03-06 00:00:00,Gare du Nord 1,12.7,ID_043,1005.0,50,7.7,11.6,8.17,8.08,47.151882,1.206889
2024-08-03 00:00:00,Montparnasse 5,12.5,ID_044,997.9,45,2.24,12.4,5.27,5.4,50.971745,3.964734
2024-10-20 00:00:00,Gare du Nord 8,19.4,ID_045,1019.6,30,2.86,4.8,7.2,7.88,50.45398,1.985881
2024-10-18 00:00:00,Montparnasse 6,22.9,ID_046,1008.2,50,2.26,2.1,8.52,7.18,49.02413,5.24976
2024-06-03 00:00:00,Gare de l'Est 9,23.2,ID_047,1022.6,30,7.98,7.0,5.65,6.3,49.211456,1.535679
2024-02-09 00:00:00,Matabiau 5,16.8,ID_048,1003.6,30,4.93,2.0,8.09,8.65,49.996382,-0.165272
2024-06-21 00:00:00,Gare de Lyon 2,9.5,ID_049,1008.1,80,5.32,4.5,3.49,3.23,52.601243,-0.35359
2024-02-02 00:00:00,Gare du Nord 2,6.5,ID_050,1010.3,110,7.19,5.8,2.91,2.6,51.871438,5.600352
2024-02-05 00:00:00,Saint-Charles 8,12.1,ID_051,1004.8,110,1.55,13.8,8.3,4.0,50.890267,3.729732
2024-06-23 00:00:00,Gare de l'Est 5,26.2,ID_052,995.7,45,7.81,12.3,7.85,4.38,46.347666,1.098941
2024-10-17 00:00:00,Matabiau 4,16.5,ID_053,1016.8,130,4.73,4.1,3.61,7.3,45.225685,0.624495
2024-11-07 00:00:00,Part-Dieu 5,16.8,ID_054,998.9,45,4.92,12.9,6.43,5.32,50.637556,4.847619
2024-09-06 00:00:00,Part-Dieu 2,15.4,ID_055,1017.1,30,2.39,2.6,3.47,3.95,48.500633,2.070482
2024-11-08 00:00:00,Gare de l'Est 3,21.8,ID_056,1007.0,50,8.38,4.2,3.16,5.45,52.390867,2.93281
2024-02-21 00:00:00,Gare de Lyon 1,22.7,ID_057,1001.6,130,6.38,6.8,4.85,5.85,48.402578,1.120762
2024-03-17 00:00:00,Montparnasse 9,15.5,ID_058,1005.9,50,5.12,4.7,8.25,6.9,48.029266,1.731317
2024-09-16 00:00:00,Saint-Charles 2,12.1,ID_059,1020.5,80,2.22,0.5,1.36,7.82,52.353053,1.935074
2024-11-03 00:00:00,Saint-Charles 6,11.7,ID_060,1023.2,50,3.02,8.1,3.56,3.57,45.758115,2.833791
2024-02-28 00:00:00,Gare de l'Est 9,6.5,ID_061,1010.7,70,6.36,13.5,2.89,3.83,52.833014,0.77014
2024-07-08 00:00:00,Gare de Lyon 1,16.1,ID_062,1007.1,45,2.86,11.2,5.51,4.17,45.862039,0.514602
2024-09-09 00:00:00,Gare de Lyon 8,27.3,ID_063,1006.3,50,8.01,8.7,1.92,3.26,49.865558,1.826109
2024-01-12 00:00:00,Saint-Charles 1,10.8,ID_064,1003.1,80,5.47,11.0,2.99,4.37,50.172272,0.16188
2024-03-19 00:00:00,Gare du Nord 5,7.7,ID_065,1018.2,30,6.52,13.3,4.75,3.46,44.995313,5.177497
2024-01-10 00:00:00,Montparnasse 3,20.5,ID_066,1020.7,80,4.72,0.5,7.22,5.25,50.499551,5.186939
2024-08-19 00:00:00,Gare de Lyon 2,12.3,ID_067,1015.8,30,4.91,9.9,4.98,3.8,46.785411,3.259031
2024-07-13 00:00:00,Matabiau 3,13.4,ID_068,1004.6,50,7.59,14.5,4.77,8.1,45.923963,-1.125644
2024-01-25 00:00:00,Montparnasse 6,8.9,ID_069,998.8,70,7.09,8.4,6.8,4.48,51.638707,1.861347
2024-11-10 00:00:00,Matabiau 8,13.2,ID_070,996.0,45,3.63,3.1,6.98,7.42,48.271591,-0.182399
2024-05-11 00:00:00,Gare de Lyon 9,21.0,ID_071,1017.8,50,7.63,3.7,2.43,1.24,48.745349,2.851061
2024-06-20 00:00:00,Saint-Jean 5,8.5,ID_072,1014.0,30,7.48,6.4,6.3,3.41,47.559154,5.674438
2024-12-23 00:00:00,Gare de Lyon 8,5.8,ID_073,999.1,50,6.09,1.5,8.05,3.81,49.49174,3.495545
2024-02-13 00:00:00,Gare du Nord 3,24.3,ID_074,1019.2,30,6.78,3.0,2.92,5.91,45.747995,0.518661
2024-10-15 00:00:00,Saint-Jean 4,16.8,ID_075,998.3,70,1.99,10.3,2.64,5.3,48.621137,-0.805137
2024-04-28 00:00:00,Gare de l'Est 3,5.0,ID_076,1016.3,45,8.0,11.3,7.43,5.24,48.1277,-0.839605
2024-06-28 00:00:00,Gare du Nord 8,18.4,ID_077,1014.6,110,3.84,12.5,8.24,5.99,49.859591,1.875723
2024-10-19 00:00:00,Gare de l'Est 4,13.2,ID_078,1004.7,110,2.58,4.6,1.88,3.44,45.235992,3.207376
2024-03-31 00:00:00,Gare de Lyon 7,22.1,ID_079,1023.7,45,3.71,3.7,6.31,2.89,47.025521,5.062422
2024-02-03 00:00:00,Matabiau 2,9.2,ID_080,1005.0,80,1.45,7.1,5.0,4.8,49.334246,-0.145449
2024-06-23 00:00:00,Gare de Lyon 3,13.6,ID_081,1024.3,110,3.1,9.2,5.97,3.95,51.711596,4.681268
2024-11-11 00:00:00,Montparnasse 7,7.4,ID_082,1023.2,130,7.44,13.9,8.49,1.34,47.003634,1.919464
2024-01-17 00:00:00,Gare de Lyon 3,8.2,ID_083,1011.8,70,3.28,9.8,6.78,4.99,47.567123,-1.12153
2024-04-18 00:00:00,Part-Dieu 3,22.5,ID_084,995.9,45,3.47,12.7,2.08,2.11,48.447378,3.736154
2024-11-18 00:00:00,Matabiau 6,4.5,ID_085,1004.3,80,1.57,0.9,8.65,1.35,49.517673,4.804405
2024-01-25 00:00:00,Montparnasse 4,11.4,ID_086,998.8,110,3.0,8.0,5.05,2.56,51.6061,4.649896
2024-05-18 00:00:00,Haussmann Saint-Lazare 8,13.4,ID_087,1018.8,80,2.62,6.2,2.91,5.7,52.390967,5.495525
2024-06-05 00:00:00,Matabiau 1,20.4,ID_088,1008.3,70,7.73,11.9,2.68,4.01,47.478699,6.157312
2024-10-26 00:00:00,Part-Dieu 4,27.1,ID_089,1020.1,50,5.59,11.4,7.55,5.61,49.536851,3.66644
2024-01-14 00:00:00,Montparnasse 7,16.8,ID_090,997.5,50,8.65,8.8,7.27,6.23,52.496973,4.466834
2024-11-27 00:00:00,Haussmann Saint-Lazare 3,11.1,ID_091,1013.7,50,2.26,2.4,1.91,4.83,45.897248,-0.968765
2024-05-27 00:00:00,Saint-Jean 7,11.3,ID_092,1021.1,45,2.88,10.2,3.84,7.06,47.129857,3.364333
2024-04-06 00:00:00,Gare de Lyon 7,5.2,ID_093,1023.3,110,1.97,7.3,7.09,2.45,50.254135,2.212059
2024-01-31 00:00:00,Gare de l'Est 2,14.6,ID_094,1003.6,130,7.75,12.0,7.44,7.52,49.801325,4.636189
2024-08-19 00:00:00,Part-Dieu 3,9.5,ID_095,1008.5,45,5.91,5.3,7.18,6.56,48.372063,4.075812
2024-07-12 00:00:00,Matabiau 2,18.8,ID_096,1021.4,130,1.31,3.1,5.46,6.67,52.714076,1.981512
2024-11-09 00:00:00,Gare du Nord 5,13.3,ID_097,1004.7,80,6.03,8.2,5.55,4.61,49.714672,4.331805
2024-05-03 00:00:00,Gare de Lyon 5,6.2,ID_098,1014.3,70,7.2,14.3,6.78,4.4,50.676483,4.201252
2024-08-17 00:00:00,Montparnasse 4,26.7,ID_099,1006.6,70,1.84,14.9,5.09,6.67,52.224247,0.773852
2024-01-25 00:00:00,Haussmann Saint-Lazare 5,15.9,ID_000,1024.5,70,5.82,13.6,7.76,8.48,50.050152,2.414918
2024-05-29 00:00:00,Gare de l'Est 6,10.4,ID_001,1011.6,130,6.78,5.8,3.58,6.91,50.702529,-0.422204
2024-03-20 00:00:00,Saint-Jean 6,9.1,ID_002,1024.7,130,3.16,5.4,3.23,5.16,46.448592,4.429037
2024-01-24 00:00:00,Saint-Charles 5,11.8,ID_003,1018.4,50,7.49,1.7,3.32,1.72,48.760408,0.941111
2024-02-24 00:00:00,Saint-Jean 8,4.8,ID_004,995.1,50,8.57,7.0,5.79,4.79,49.284007,5.002617
2024-12-06 00:00:00,Gare de l'Est 7,7.9,ID_005,1007.4,110,8.59,3.9,4.95,2.0,49.477271,4.001969
2024-03-30 00:00:00,Saint-Jean 9,5.2,ID_006,1002.8,50,4.32,13.4,5.5,7.97,46.659422,3.909373
2024-10-02 00:00:00,Saint-Charles 3,26.9,ID_007,998.9,30,2.43,9.1,6.61,4.35,47.103835,0.569993
2024-01-20 00:00:00,Haussmann Saint-Lazare 8,17.1,ID_008,1005.8,110,3.57,6.2,7.98,5.06,49.508894,0.392971
2024-07-11 00:00:00,Saint-Charles 4,26.3,ID_009,1024.7,30,3.6,6.0,7.21,2.28,45.126295,-0.843732
2024-01-17 00:00:00,Gare du Nord 6,17.3,ID_010,1015.4,130,2.82,4.2,2.63,5.16,50.357245,5.249555
2024-11-10 00:00:00,Gare du Nord 4,7.1,ID_011,1002.3,70,7.97,10.3,2.04,7.56,45.35684,-1.616271
2024-08-13 00:00:00,Saint-Charles 4,19.8,ID_012,1018.4,110,1.91,7.1,3.81,7.75,44.894814,4.975225
2024-06-28 00:00:00,Gare de l'Est 5,13.4,ID_013,1020.4,130,7.65,1.9,6.56,7.05,50.213582,2.227053
2024-06-23 00:00:00,Saint-Jean 2,9.6,ID_014,998.4,30,6.03,5.7,5.36,3.74,46.195356,6.056749
2024-07-08 00:00:00,Part-Dieu 9,21.4,ID_015,1023.6,130,2.08,9.9,4.35,8.59,52.427979,0.316673
2024-05-22 00:00:00,Montparnasse 5,12.9,ID_016,1014.9,70,4.07,9.4,4.74,4.99,49.631704,5.350569
2024-04-21 00:00:00,Saint-Jean 5,20.4,ID_017,1001.6,70,8.66,6.2,4.46,6.83,52.155812,4.330214
2024-12-11 00:00:00,Gare de l'Est 5,26.2,ID_018,1007.5,80,3.68,14.1,7.13,2.04,49.960891,3.506746
2024-11-05 00:00:00,Gare du Nord 3,9.2,ID_019,1008.9,130,6.34,14.6,5.62,6.87,52.435676,0.323716
2024-12-07 00:00:00,Saint-Jean 3,20.8,ID_020,1003.8,50,3.44,14.1,7.66,3.1,46.102741,-0.472718
2024-04-19 00:00:00,Matabiau 9,23.8,ID_021,1019.6,80,1.93,2.1,5.3,2.18,46.749534,2.312021
2024-11-17 00:00:00,Matabiau 7,7.3,ID_022,1022.7,70,8.32,11.8,3.29,5.49,45.724133,5.436769
2024-08-11 00:00:00,Matabiau 4,21.9,ID_023,996.7,110,5.34,3.5,3.17,3.64,50.844163,1.939406
2024-04-25 00:00:00,Part-Dieu 2,20.4,ID_024,1000.3,80,4.45,12.8,3.33,8.55,46.531664,-1.146305
2024-05-08 00:00:00,Gare de l'Est 5,22.2,ID_025,1013.9,45,8.57,12.0,3.16,8.77,48.130731,1.865088
2024-04-01 00:00:00,Gare du Nord 7,14.3,ID_026,1005.2,45,5.89,6.6,3.7,8.01,49.2601,1.781036
