col_date,col_region,col_ville,col_polluant,col_valeur,col_unite,col_indice_atmo,col_qualite_air,col_latitude,col_longitude
2024-01-06 00:00:00,Pays de la Loire,Bordeaux,PM2.5,8.53,µg/m³,1.24,4.02,47.510163,0.353896
2024-11-08 00:00:00,Occitanie,Lyon,NO2,68.8,µg/m³,6.7,6.85,45.923378,0.328015
2024-10-17 00:00:00,Grand Est,Montpellier,O3,28.92,µg/m³,7.36,6.76,52.203216,5.775183
2024-11-14 00:00:00,Pays de la Loire,Nantes,PM2.5,29.03,µg/m³,7.69,8.72,49.322975,0.47972
2024-05-03 00:00:00,Provence-Alpes-Côte d'Azur,Paris,PM10,44.9,µg/m³,7.2,5.45,48.204375,2.856272
2024-03-03 00:00:00,Nouvelle-Aquitaine,Montpellier,CO,30.65,µg/m³,1.21,8.19,47.088092,5.542265
2024-09-13 00:00:00,Hauts-de-France,Toulouse,NO2,20.34,µg/m³,4.41,5.73,51.998255,-0.516668
2024-06-30 00:00:00,Normandie,Lyon,PM10,73.09,µg/m³,5.24,7.84,45.212231,4.50987
2024-02-09 00:00:00,Île-de-France,Strasbourg,SO2,17.57,µg/m³,2.95,6.84,47.280336,5.783542
2024-05-21 00:00:00,Île-de-France,Bordeaux,NO2,76.47,µg/m³,3.1,2.81,46.879382,-0.374805
2024-02-16 00:00:00,Hauts-de-France,Paris,SO2,8.09,µg/m³,4.12,7.33,46.802143,2.185002
2024-04-12 00:00:00,Hauts-de-France,Nice,O3,31.54,µg/m³,3.93,3.43,49.468987,1.756584
2024-02-01 00:00:00,Grand Est,Paris,PM2.5,40.62,µg/m³,6.23,6.58,45.876367,0.645161
2024-10-28 00:00:00,Provence-Alpes-Côte d'Azur,Strasbourg,SO2,30.88,µg/m³,5.68,2.48,45.620356,4.68422
2024-03-24 00:00:00,Hauts-de-France,Marseille,PM2.5,72.66,µg/m³,6.37,8.7,48.355501,3.142185
2024-12-25 00:00:00,Bretagne,Nice,SO2,5.06,µg/m³,2.81,1.38,49.700177,0.206716
2024-02-06 00:00:00,Île-de-France,Bordeaux,PM10,2.38,µg/m³,6.85,4.14,45.368934,-0.816967
2024-04-03 00:00:00,Hauts-de-France,Marseille,CO,67.82,µg/m³,8.23,7.9,46.70388,4.163693
2024-09-07 00:00:00,Provence-Alpes-Côte d'Azur,Paris,NO2,71.9,µg/m³,5.44,4.72,50.60704,3.708114
2024-08-11 00:00:00,Bretagne,Nantes,PM10,38.37,µg/m³,7.89,2.69,48.63711,1.381384
2024-07-26 00:00:00,Grand Est,Marseille,O3,51.38,µg/m³,2.76,7.03,50.223895,2.433348
2024-02-13 00:00:00,Hauts-de-France,Montpellier,PM2.5,31.62,µg/m³,7.2,1.72,46.948038,-1.575787
2024-08-31 00:00:00,Grand Est,Strasbourg,CO,84.88,µg/m³,7.2,7.74,51.32866,-0.350569
2024-03-24 00:00:00,Provence-Alpes-Côte d'Azur,Bordeaux,SO2,27.91,µg/m³,8.19,8.39,45.935874,1.89189
2024-03-29 00:00:00,Île-de-France,Montpellier,NO2,29.85,µg/m³,4.02,1.82,50.764194,5.347577
